id,label,timeset,users_can_post,category,username,talking_about_count,post_activity,fan_count,modularity_class,group
35245929077,Disney Pixar,,no,Movie/Television Studio,DisneyPixar,70007,0.11,14537958,0,1
35245929077,Disney Pixar,,no,Movie/Television Studio,DisneyPixar,70007,0.11,14537958,0,1
35245929077,Disney Pixar,,no,Movie/Television Studio,DisneyPixar,70007,0.11,14537958,0,1
35245929077,Disney Pixar,,no,Movie/Television Studio,DisneyPixar,70007,0.11,14537958,0,1
35245929077,Disney Pixar,,no,Movie/Television Studio,DisneyPixar,70007,0.11,14537958,0,1
35245929077,Disney Pixar,,no,Movie/Television Studio,DisneyPixar,70007,0.11,14537958,0,1
35245929077,Disney Pixar,,no,Movie/Television Studio,DisneyPixar,70007,0.11,14537958,0,1
35245929077,Disney Pixar,,no,Movie/Television Studio,DisneyPixar,70007,0.11,14537958,0,1
35245929077,Disney Pixar,,no,Movie/Television Studio,DisneyPixar,70007,0.11,14537958,0,1
35245929077,Disney Pixar,,no,Movie/Television Studio,DisneyPixar,70007,0.11,14537958,0,1
350971605012154,Finding Dory,,no,Movie,PixarFindingDory,7227,0.02,3106740,0,1
350971605012154,Finding Dory,,no,Movie,PixarFindingDory,7227,0.02,3106740,0,1
350971605012154,Finding Dory,,no,Movie,PixarFindingDory,7227,0.02,3106740,0,1
350971605012154,Finding Dory,,no,Movie,PixarFindingDory,7227,0.02,3106740,0,1
350971605012154,Finding Dory,,no,Movie,PixarFindingDory,7227,0.02,3106740,0,1
350971605012154,Finding Dory,,no,Movie,PixarFindingDory,7227,0.02,3106740,0,1
350971605012154,Finding Dory,,no,Movie,PixarFindingDory,7227,0.02,3106740,0,1
350971605012154,Finding Dory,,no,Movie,PixarFindingDory,7227,0.02,3106740,0,1
350971605012154,Finding Dory,,no,Movie,PixarFindingDory,7227,0.02,3106740,0,1
350971605012154,Finding Dory,,no,Movie,PixarFindingDory,7227,0.02,3106740,0,1
453888788023958,Inside Out,,no,Movie,PixarInsideOut,14149,0.02,924334,0,1
453888788023958,Inside Out,,no,Movie,PixarInsideOut,14149,0.02,924334,0,1
453888788023958,Inside Out,,no,Movie,PixarInsideOut,14149,0.02,924334,0,1
453888788023958,Inside Out,,no,Movie,PixarInsideOut,14149,0.02,924334,0,1
453888788023958,Inside Out,,no,Movie,PixarInsideOut,14149,0.02,924334,0,1
453888788023958,Inside Out,,no,Movie,PixarInsideOut,14149,0.02,924334,0,1
453888788023958,Inside Out,,no,Movie,PixarInsideOut,14149,0.02,924334,0,1
453888788023958,Inside Out,,no,Movie,PixarInsideOut,14149,0.02,924334,0,1
453888788023958,Inside Out,,no,Movie,PixarInsideOut,14149,0.02,924334,0,1
453888788023958,Inside Out,,no,Movie,PixarInsideOut,14149,0.02,924334,0,1
485442944898413,Colin's Friends,,yes,Community,Coliniseleven,15394,0.17,1921726,0,1
485442944898413,Colin's Friends,,yes,Community,Coliniseleven,15394,0.17,1921726,0,1
485442944898413,Colin's Friends,,yes,Community,Coliniseleven,15394,0.17,1921726,0,1
485442944898413,Colin's Friends,,yes,Community,Coliniseleven,15394,0.17,1921726,0,1
485442944898413,Colin's Friends,,yes,Community,Coliniseleven,15394,0.17,1921726,0,1
485442944898413,Colin's Friends,,yes,Community,Coliniseleven,15394,0.17,1921726,0,1
485442944898413,Colin's Friends,,yes,Community,Coliniseleven,15394,0.17,1921726,0,1
485442944898413,Colin's Friends,,yes,Community,Coliniseleven,15394,0.17,1921726,0,1
485442944898413,Colin's Friends,,yes,Community,Coliniseleven,15394,0.17,1921726,0,1
485442944898413,Colin's Friends,,yes,Community,Coliniseleven,15394,0.17,1921726,0,1
132180523866,Boo,,no,Movie Character,MonstersIncBoo,26129,0.0,21727110,1,1
132180523866,Boo,,no,Movie Character,MonstersIncBoo,26129,0.0,21727110,1,1
132180523866,Boo,,no,Movie Character,MonstersIncBoo,26129,0.0,21727110,1,1
132180523866,Boo,,no,Movie Character,MonstersIncBoo,26129,0.0,21727110,1,1
132180523866,Boo,,no,Movie Character,MonstersIncBoo,26129,0.0,21727110,1,1
132180523866,Boo,,no,Movie Character,MonstersIncBoo,26129,0.0,21727110,1,1
132180523866,Boo,,no,Movie Character,MonstersIncBoo,26129,0.0,21727110,1,1
132180523866,Boo,,no,Movie Character,MonstersIncBoo,26129,0.0,21727110,1,1
132180523866,Boo,,no,Movie Character,MonstersIncBoo,26129,0.0,21727110,1,1
132180523866,Boo,,no,Movie Character,MonstersIncBoo,26129,0.0,21727110,1,1
320726104664127,The Good Dinosaur,,no,Movie,PixarTheGoodDinosaur,1941,0.01,354319,0,1
320726104664127,The Good Dinosaur,,no,Movie,PixarTheGoodDinosaur,1941,0.01,354319,0,1
320726104664127,The Good Dinosaur,,no,Movie,PixarTheGoodDinosaur,1941,0.01,354319,0,1
320726104664127,The Good Dinosaur,,no,Movie,PixarTheGoodDinosaur,1941,0.01,354319,0,1
320726104664127,The Good Dinosaur,,no,Movie,PixarTheGoodDinosaur,1941,0.01,354319,0,1
320726104664127,The Good Dinosaur,,no,Movie,PixarTheGoodDinosaur,1941,0.01,354319,0,1
320726104664127,The Good Dinosaur,,no,Movie,PixarTheGoodDinosaur,1941,0.01,354319,0,1
320726104664127,The Good Dinosaur,,no,Movie,PixarTheGoodDinosaur,1941,0.01,354319,0,1
320726104664127,The Good Dinosaur,,no,Movie,PixarTheGoodDinosaur,1941,0.01,354319,0,1
320726104664127,The Good Dinosaur,,no,Movie,PixarTheGoodDinosaur,1941,0.01,354319,0,1
17377140236,Ratatouille,,no,Movie,PixarRatatouille,17632,0.02,8553480,1,1
17377140236,Ratatouille,,no,Movie,PixarRatatouille,17632,0.02,8553480,1,1
17377140236,Ratatouille,,no,Movie,PixarRatatouille,17632,0.02,8553480,1,1
17377140236,Ratatouille,,no,Movie,PixarRatatouille,17632,0.02,8553480,1,1
17377140236,Ratatouille,,no,Movie,PixarRatatouille,17632,0.02,8553480,1,1
17377140236,Ratatouille,,no,Movie,PixarRatatouille,17632,0.02,8553480,1,1
17377140236,Ratatouille,,no,Movie,PixarRatatouille,17632,0.02,8553480,1,1
17377140236,Ratatouille,,no,Movie,PixarRatatouille,17632,0.02,8553480,1,1
17377140236,Ratatouille,,no,Movie,PixarRatatouille,17632,0.02,8553480,1,1
17377140236,Ratatouille,,no,Movie,PixarRatatouille,17632,0.02,8553480,1,1
6877151199,Fandango,,yes,Entertainment Website,Fandango,312403,0.15,2009857,2,1
6877151199,Fandango,,yes,Entertainment Website,Fandango,312403,0.15,2009857,2,1
6877151199,Fandango,,yes,Entertainment Website,Fandango,312403,0.15,2009857,2,1
6877151199,Fandango,,yes,Entertainment Website,Fandango,312403,0.15,2009857,2,1
6877151199,Fandango,,yes,Entertainment Website,Fandango,312403,0.15,2009857,2,1
6877151199,Fandango,,yes,Entertainment Website,Fandango,312403,0.15,2009857,2,1
